StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
57484,79876,147144,,,,,16.30430421,+42.62696866,126.422250316056,8.38,2.87088241748838,F4IV,0.414
57485,79878,146606,,,,,16.30449082,-28.04164667,146.842878120411,7.07,1.23573555956393,A0V,-0.016
57486,79879,147113,,,,,16.3044986,+38.27527893,588.235294117647,8.29,-0.55775539310863,A2,0.286
57487,79880,146422,,,,,16.30485209,-46.44978106,342.465753424658,7.48,-0.193085742757907,M3III,1.790
57488,79881,146624,6070,,,,16.30497801,-28.61377598,43.0477830391735,4.80,1.63024604900118,A0V:,0.008
57489,79882,146791,6075,NN 3949,2Eps Oph,,16.30534466,-04.69260809,32.95978905735,3.23,0.640077882253558,G8III,0.966
57490,79883,146593,,,,,16.30565785,-32.95995323,100.1001001001,8.28,3.27782744112991,F3V,0.405
57491,79884,146546,,,,,16.30587068,-36.56598269,65.9630606860158,7.76,3.66349600648017,F7/F8V,0.544
57492,79885,146991,,,,,16.30614594,+21.04806340,117.647058823529,8.20,2.84709462857146,F5,0.511
57493,79887,145619,,,,,16.30653803,-73.04336187,291.545189504373,6.58,-0.743529399786147,B9V,0.012
57494,79888,146475,,,,,16.30655455,-42.74213275,49.7760079641613,9.03,5.54489968374125,K0V,0.836
57495,79889,147025,,,,,16.30657199,+25.89668417,153.846153846154,6.70,0.764566783214278,G8III,0.882
57496,79892,146247,,,,,16.30727003,-58.39270236,131.233595800525,7.22,1.629774856698,K2III,1.243
57497,79893,146270,,,,,16.30738739,-56.67294862,266.666666666667,8.66,1.5301563386386,K0III,1.248
57498,79895,146741,,,,,16.30753197,-17.38758477,78.3085356303837,7.36,2.89095448631708,F3V,0.415
57499,79897,146706,,,,,16.30785111,-23.27423860,170.648464163823,7.51,1.34948808009045,B9V,0.135
57500,79898,146961,,,,,16.3080784,+15.54162245,95.2380952380952,8.71,3.81594649534969,G0,0.451
57501,79900,148386,,,,,16.30907023,+77.54880756,311.526479750779,7.48,0.012525162024362,K0,1.482
57502,79901,146930,,,,,16.30955203,+07.26046712,396.825396825397,7.78,-0.212997296092278,K5,1.559
57503,79902,146401,,,,,16.30955338,-51.55184226,487.804878048781,8.85,0.408769305278772,G8/K0III,1.043
60805,84526,156169,,,,,17.27895295,-17.91458935,180.831826401447,7.38,1.09362565652349,K0III,1.122
60806,84528,156005,,,,,17.27992613,-37.40938693,10000000,8.78,-6.22,K2III:,1.612
60807,84530,156753,6437,,,,17.28014651,+49.69120416,288.184438040346,7.53,0.231647373954369,K2,1.035
60808,84532,156632,,,,,17.28167273,+39.46811903,72.0461095100865,7.48,3.19194733059418,F5,0.480
60809,84533,156096,,,,,17.28175427,-30.35139562,66.006600660066,7.27,3.17206316419162,F0V,0.336
60810,84536,156455,,,,,17.28233242,+20.33786021,400,8.13,0.11970004336019,K2,1.208
60811,84537,156317,,,,,17.28244658,-02.87322877,141.242937853107,8.98,3.23016628844885,A0,0.717
60812,84535,183030,7394,,Lam UMi,,17.28257238,+89.03771546,268.817204301075,6.31,-0.837285300590511,M1III,1.575
60851,84589,156819,,,,,17.29139174,+45.67406125,170.068027210884,8.51,2.35688663038069,A0,0.147
60852,84590,156984,,,,,17.29146139,+55.05638059,205.338809034908,7.59,1.02764480607317,K0,1.240
60853,84591,156030,,,,,17.29166894,-47.10412961,343.642611683849,8.27,0.589464944929536,K2III,1.323
60854,84592,156485,,,,,17.29266682,+06.76159617,233.100233100233,7.45,0.612286460923622,K0,1.553
60855,84594,,,,,,17.29294412,+04.07869354,43.4404865334492,10.92,7.73052659646887,K5,1.176
60856,84596,156652,,,,,17.29295927,+28.91326173,1351.35135135135,6.88,-3.77384140134512,M2III comp,1.663
60857,84595,156498,,,,,17.29296468,+10.41646268,83.1255195344971,8.45,3.85132813669922,G5,0.729
60858,84599,156593,6430,,,,17.29329336,+23.09063832,546.448087431694,6.25,-2.43774455134785,K2,1.544
60859,84600,156458,,,,,17.29360601,+01.74252057,86.2812769628991,6.86,2.18041717981798,F0,0.416
60860,84601,154179,,,,,17.29361025,-81.17663024,245.700245700246,8.73,1.7779720461261,A0Vn,0.152
60861,84602,157222,,,,,17.29384106,+64.03305339,164.473684210526,7.39,1.30951789636368,F2,0.350
60862,84603,,,,,,17.29387896,+31.44819768,239.808153477218,8.37,1.47068027486879,G0,0.588
60863,84604,156584,,,,,17.2941233,+20.45656194,318.471337579618,8.48,0.964648240366076,A0,0.023
60864,84605,156252,,,,,17.2943146,-26.62896579,134.228187919463,6.81,1.17078136374147,B9.5V,0.020
60865,84606,156729,6436,,69    Her,,17.29452385,+37.29134328,54.525627044711,4.64,0.956996656670011,A2V,0.043
60866,84607,156668,,,,,17.2945939,+29.22670035,24.050024050024,8.43,6.52442242497725,K2,1.015
60867,84609,156253,,,,,17.29498286,-28.93830513,65.8327847267939,8.69,4.59778886931393,G0V,0.600
60868,84611,156229,,,,,17.29532441,-30.77047894,73.0994152046784,8.96,4.64043048692049,G2/G3V,0.660
60869,84612,156201,,,,,17.29597629,-35.22416902,884.955752212389,7.89,-1.8446077825829,B0.5Ia,0.604
60870,84613,156200,,,,,17.29606313,-34.09661362,246.913580246914,8.04,1.07727511607334,F5V,0.512
60871,84614,156680,,,,,17.29669886,+28.73345063,263.852242744063,8.15,1.04319604984036,A2,0.194
60872,84615,156757,,,,,17.29690928,+36.09407004,286.532951289398,7.57,0.2841271347959,A5,0.273
60873,84616,156985,,,,,17.29733535,+52.44758821,18.5288123031314,7.93,6.59076209032607,K2,1.019
60874,84618,156392,,,,,17.29771599,-12.31313284,146.412884333821,8.36,2.53210351840766,F2V,0.503
60875,84619,155901,,,,,17.29859543,-58.17485778,149.700598802395,8.90,3.02388231237773,F0IV,0.488
60876,84620,156010,,,,,17.29860974,-52.01637690,207.900207900208,8.45,1.86072538186916,K1III,1.202
60877,84621,156696,,,,,17.29876012,+28.90639881,105.485232067511,7.47,2.35404168669033,F0,0.258
60878,84622,155797,,,,,17.29878885,-62.70279891,507.61421319797,7.62,-0.907668869192034,K2III,1.395
60879,84623,156614,,,,,17.29954722,+17.12462816,160.771704180064,7.06,1.02895192345409,K5,1.380
60880,84625,156350,6425,,39Omi Oph,,17.30017831,-24.28408423,147.492625368732,6.59,0.746148469335318,G8/K0II,0.510
60881,84626,156349,6424,,39Omi Oph,,17.30019909,-24.28688289,111.358574610245,5.14,-0.0936183166634779,K:...,1.046
60882,84627,156047,,,,,17.30033978,-50.57525834,256.410256410256,8.62,1.5753230351325,K1III,1.218
60883,84628,156157,,,,,17.30038271,-43.57765360,199.600798403194,7.02,0.519188629336228,B8V,-0.040
60884,84629,157009,,,,,17.3005144,+52.33728567,294.985250737463,7.92,0.570998491015411,K0,1.076
60885,84630,,,,,,17.30129484,-67.80927013,483.091787439614,8.75,0.32985172728459,M2,1.568
60886,84631,156653,6432,,,,17.30137011,+17.31791351,123.152709359606,6.00,0.547780146205877,A1V,0.015
60887,84632,156539,,,,,17.30137561,+03.14698060,83.1946755407654,6.87,2.2695223383336,F2,0.412
60888,84633,156517,,,,,17.30139743,-01.28467189,42.6439232409382,9.44,6.29071423525551,K3V,0.940
64196,89121,166198,,,,,18.18903381,-40.30704978,763.358778625954,8.18,-1.23364352172118,B7/B8II,-0.133
64197,89122,166822,,,,,18.18916281,+25.32183019,363.636363636364,8.14,0.336663469151315,G0IV,0.810
64198,89126,166867,,,,,18.18990665,+29.90914100,199.203187250996,7.38,0.883518585725097,K0IV,1.008
64199,89127,166297,,,,,18.18992613,-33.32689306,139.470013947001,7.58,1.857595778339,F5V,0.513
64200,89128,166685,,,,,18.18994803,+11.52875411,64.5994832041344,8.40,4.34885478173437,G5,0.520
64201,89129,166443,,,,,18.1900864,-20.71249765,10000000,8.68,-6.32,B0.5Iab:ne,0.199
64202,89130,166868,,,,,18.19014732,+29.67039251,180.831826401447,7.63,1.34362565652349,A2,0.185
64203,89131,166220,,,,,18.19022503,-38.19622777,157.728706624606,8.77,2.78044628940866,F0IV,0.367
64204,89133,166563,,,,,18.19081549,-05.20499574,167.785234899329,6.74,0.616231298701183,B9,0.062
64205,89134,166895,,,,,18.1908174,+30.12549620,109.769484083425,8.65,3.44759188486499,F6V,0.460
64206,89135,166138,,,,,18.19108211,-44.58607508,362.31884057971,8.15,0.354545410326089,B5II,-0.096
64207,89136,166521,,,,,18.19113162,-11.30938684,137.741046831956,7.39,1.69468310350047,G5,1.135
64208,89137,166641,,,,,18.19190653,+02.16563868,263.157894736842,8.29,1.18891798308405,K2,0.994
64209,89138,167471,,,,,18.19210254,+60.61202929,149.700598802395,7.69,1.81388231237773,F8,0.522
64210,89139,166842,,,,,18.19221772,+25.56115712,136.798905608755,6.78,1.0995868847893,K1III,1.110
64211,89140,168411,,,,,18.19232397,+74.39146546,267.379679144385,8.48,1.3443580110024,K5,1.197
64212,89141,166801,,,,,18.1926969,+18.32406747,265.25198938992,8.39,1.27170675102897,A0,0.024
64213,89142,,,,,,18.19284552,+47.65956914,621.11801242236,8.03,-0.935870619840751,M2,1.514
64214,89143,167190,,,,,18.19310342,+48.28964011,133.868808567604,6.65,1.016603009077,K0,1.074
64215,89145,166759,,,,,18.19393111,+12.55044323,1515.15151515152,8.08,-2.82228032229066,A0,-0.053
64216,89146,166326,,,,,18.19465219,-35.02539302,310.55900621118,7.11,-0.350720641520844,B9III,-0.027
64217,89147,166268,,,,,18.19468165,-40.41317290,297.619047619048,8.93,1.56169638694922,F3V,0.377
64218,89148,166642,,,,,18.19472343,-02.72617656,207.900207900208,7.26,0.670725381869159,K0,1.162
64219,89150,166298,,,,,18.19505712,-40.21072684,172.413793103448,7.84,1.65713996781469,K1III,1.125
64220,89152,165986,,,,,18.19533343,-55.36165011,188.323917137476,6.78,0.405472605407347,M0III,1.674
